Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Cinemaxx;Munkebo;30-11-18 03:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;thrymm@msn.com;13570508
Cinemaxx;Århus;05-4-19 07:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;osaru@mac.com;85983446
Cinemaxx;Århus;01-1-19 09:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;shaffei@optonline.net;47047274
Nordisk Film;København;26-12-18 07:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;nanop@hotmail.com;90108943
Nordisk Film;København;02-5-19 03:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;16-11-18;timlinux@yahoo.ca;24409174
Cinemaxx;Munkebo;01-5-19 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;gospodin@optonline.net;98956772
Cinemaxx;Munkebo;01-5-19 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;kmiller@yahoo.com;69839959
Cinemaxx;Munkebo;01-5-19 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;leocharre@aol.com;54137588
Cinemaxx;Århus;30-4-19 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;agolomsh@yahoo.com;95055850
Cinemaxx;Århus;05-5-19 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;cumarana@optonline.net;37794677
Nordisk Film;København;29-5-19 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;gavinls@comcast.net;51718074
Nordisk Film;København;30-4-19 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;04-10-19;mschwartz@live.com;71154222
Cinemaxx;Munkebo;01-5-19 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;yangyan@yahoo.com;41919090
Cinemaxx;Munkebo;01-5-19 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;tromey@msn.com;50946127
Cinemaxx;Munkebo;01-5-19 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;ramollin@hotmail.com;25423648
Cinemaxx;Århus;30-4-19 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;mrdvt@att.net;70305597
Cinemaxx;Århus;05-5-19 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;crypt@yahoo.com;66562566
Nordisk Film;København;29-5-19 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;jipsen@att.net;48557445
Nordisk Film;København;30-4-19 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;04-10-19;scitext@outlook.com;99069939
Cinemaxx;Munkebo;07-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;oster@sbcglobal.net;20925215
Cinemaxx;Munkebo;08-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;rcwil@aol.com;34314697
Cinemaxx;Munkebo;09-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;nogin@verizon.net;73835126
Cinemaxx;Århus;10-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;jbarta@icloud.com;22095188
Cinemaxx;Århus;11-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;trygstad@verizon.net;19273615
Nordisk Film;København;10-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;floxy@sbcglobal.net;96704280
Nordisk Film;København;11-12-19 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;06-12-19;rhavyn@msn.com;40707062
Cinemaxx;Munkebo;04-10-19 09:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;pajas@comcast.net;63686486
Cinemaxx;Munkebo;04-10-19 07:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;ralamosm@live.com;79808588
Cinemaxx;Munkebo;04-10-19 05:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;stevelim@comcast.net;16066473
Cinemaxx;Århus;04-10-19 03:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;sriha@comcast.net;54831109
Cinemaxx;Århus;04-10-19 01:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;kenja@optonline.net;48575566
Nordisk Film;København;04-10-19 03:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;tubesteak@yahoo.com;38560082
Nordisk Film;København;04-10-19 01:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;04-10-19;duchamp@comcast.net;74221414
Cinemaxx;Munkebo;01-12-19 07:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;whimsy@mac.com;56109141
Cinemaxx;Munkebo;01-12-19 07:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;dgriffith@gmail.com;79763519
Cinemaxx;Munkebo;01-12-19 07:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;tarreau@hotmail.com;28705227
Cinemaxx;Århus;15-11-19 09:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;eurohack@icloud.com;69874494
Cinemaxx;Århus;15-11-19 09:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;dieman@outlook.com;96565732
Nordisk Film;København;23-12-19 03:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;drezet@yahoo.com;83762157
Nordisk Film;København;23-12-19 03:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;08-11-19;kingjoshi@verizon.net;20455353
Cinemaxx;Munkebo;05-4-19 07:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;hamilton@comcast.net;51493889
Cinemaxx;Munkebo;01-1-19 09:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;miturria@comcast.net;61119486
Cinemaxx;Munkebo;30-11-18 03:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;zeller@verizon.net;25745729
Cinemaxx;Århus;05-4-19 07:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;grolschie@hotmail.com;55460510
Cinemaxx;Århus;01-1-19 09:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;thurston@outlook.com;99816937
Nordisk Film;København;26-12-18 07:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;airship@hotmail.com;34333098
Nordisk Film;København;02-5-19 03:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;23-11-18;jshearer@yahoo.ca;89215942
Cinemaxx;Munkebo;05-4-19 07:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;ahmad@live.com;23121126
Cinemaxx;Munkebo;01-1-19 09:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;staffelb@hotmail.com;10374817
Cinemaxx;Munkebo;21-12-18 03:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;temmink@live.com;17995916
Cinemaxx;Århus;05-4-19 07:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;nimaclea@yahoo.ca;11734156
Cinemaxx;Århus;01-1-19 09:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;danneng@me.com;78999927
Nordisk Film;København;26-12-18 07:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;dmouse@aol.com;62803725
Nordisk Film;København;02-5-19 03:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;21-12-18;mfleming@me.com;17759965
Cinemaxx;Munkebo;26-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;nimaclea@hotmail.com;99154371
Cinemaxx;Munkebo;27-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;msroth@msn.com;88394675
Cinemaxx;Munkebo;26-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;cderoove@optonline.net;47529304
Cinemaxx;Århus;26-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;amimojo@me.com;18305746
Cinemaxx;Århus;27-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;caidaperl@hotmail.com;84432262
Nordisk Film;København;28-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;mirod@outlook.com;94268291
Nordisk Film;København;29-12-17 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;22-12-17;kronvold@comcast.net;99381136
Cinemaxx;Munkebo;02-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;rupak@optonline.net;88958581
Cinemaxx;Munkebo;03-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;ideguy@live.com;57857373
Cinemaxx;Munkebo;04-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;tattooman@aol.com;22722611
Cinemaxx;Århus;05-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;lydia@yahoo.ca;24003908
Cinemaxx;Århus;06-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;jeteve@verizon.net;67962658
Nordisk Film;København;10-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;mwilson@outlook.com;36874444
Nordisk Film;København;11-12-17 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;01-12-17;lridener@yahoo.com;56571001
Cinemaxx;Munkebo;01-12-19 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;07-11-19;mail@mail.com;12345678
Nordisk Film;Assens;01-1-1 12:00;;;01:0;;01-1-1;;
