Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Nordisk Film;Odense;19-5-29 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;kobayasi@yahoo.com;98605736
Nordisk Film;Odense;19-5-29 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;dkrishna@aol.com;95936682
Nordisk Film;Munkebo;19-5-29 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;jipsen@att.net;48557445
Nordisk Film;Munkebo;19-4-30 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;scitext@outlook.com;99069939
Cinemaxx;Odense;19-12-7 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;oster@sbcglobal.net;20925215
Cinemaxx;Odense;19-12-8 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;rcwil@aol.com;34314697
Cinemaxx;Odense;19-12-9 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;nogin@verizon.net;73835126
Cinemaxx;Århus;19-12-10 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;jbarta@icloud.com;22095188
Cinemaxx;Århus;19-12-11 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;trygstad@verizon.net;19273615
Nordisk Film;Odense;19-12-7 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;mcrawfor@gmail.com;74852145
Nordisk Film;Odense;19-12-8 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;forsberg@msn.com;67319619
Nordisk Film;Odense;19-12-9 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;stellaau@outlook.com;37998925
Nordisk Film;Munkebo;19-12-10 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;floxy@sbcglobal.net;96704280
Nordisk Film;Munkebo;19-12-11 07:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;19-12-6;rhavyn@msn.com;40707062
Cinemaxx;Odense;19-10-4 09:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;pajas@comcast.net;63686486
Cinemaxx;Odense;19-10-4 07:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;ralamosm@live.com;79808588
Cinemaxx;Odense;19-10-4 05:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;stevelim@comcast.net;16066473
Cinemaxx;Århus;19-10-4 03:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;sriha@comcast.net;54831109
Cinemaxx;Århus;19-10-4 01:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;kenja@optonline.net;48575566
Nordisk Film;Odense;19-10-4 09:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;demmel@verizon.net;15127824
Nordisk Film;Odense;19-10-4 07:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;curly@msn.com;71936310
Nordisk Film;Odense;19-10-4 05:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;lipeng@mac.com;30424281
Nordisk Film;Munkebo;19-10-4 03:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;tubesteak@yahoo.com;38560082
Nordisk Film;Munkebo;19-10-4 01:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;19-10-4;duchamp@comcast.net;74221414
Cinemaxx;Odense;19-12-1 07:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;whimsy@mac.com;56109141
Cinemaxx;Odense;19-12-1 07:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;dgriffith@gmail.com;79763519
Cinemaxx;Odense;19-12-1 07:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;tarreau@hotmail.com;28705227
Cinemaxx;Århus;19-11-15 09:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;eurohack@icloud.com;69874494
Cinemaxx;Århus;19-11-15 09:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;dieman@outlook.com;96565732
Nordisk Film;Odense;19-11-15 09:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;suresh@live.com;93856726
Nordisk Film;Odense;19-11-15 09:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;nacho@icloud.com;49086974
Nordisk Film;Odense;19-12-23 03:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;tellis@aol.com;23863829
Nordisk Film;Munkebo;19-12-23 03:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;drezet@yahoo.com;83762157
Nordisk Film;Munkebo;19-12-23 03:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;19-11-8;kingjoshi@verizon.net;20455353
Cinemaxx;Odense;19-4-5 07:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;hamilton@comcast.net;51493889
Cinemaxx;Odense;19-1-1 09:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;miturria@comcast.net;61119486
Cinemaxx;Odense;18-11-30 03:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;zeller@verizon.net;25745729
Cinemaxx;Århus;19-4-5 07:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;grolschie@hotmail.com;55460510
Cinemaxx;Århus;19-1-1 09:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;thurston@outlook.com;99816937
Nordisk Film;Odense;18-11-30 03:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;lpalmer@outlook.com;86657804
Nordisk Film;Odense;19-2-12 09:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;quantaman@icloud.com;66362819
Nordisk Film;Odense;18-12-12 09:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;muadip@live.com;70059931
Nordisk Film;Munkebo;18-12-26 07:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;airship@hotmail.com;34333098
Nordisk Film;Munkebo;19-5-2 03:00;Shoplifters;Crime, Drama;02:1;Hirokazu Koreeda;18-11-23;jshearer@yahoo.ca;89215942
Cinemaxx;Odense;19-4-5 07:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;ahmad@live.com;23121126
Cinemaxx;Odense;19-1-1 09:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;staffelb@hotmail.com;10374817
Cinemaxx;Odense;18-12-21 03:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;temmink@live.com;17995916
Cinemaxx;Århus;19-4-5 07:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;nimaclea@yahoo.ca;11734156
Cinemaxx;Århus;19-1-1 09:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;danneng@me.com;78999927
Nordisk Film;Odense;18-12-21 03:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;airship@mac.com;81203820
Nordisk Film;Odense;19-2-12 09:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;zavadsky@hotmail.com;12163237
Nordisk Film;Odense;18-12-26 09:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;jbryan@me.com;52270069
Nordisk Film;Munkebo;18-12-26 07:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;dmouse@aol.com;62803725
Nordisk Film;Munkebo;19-5-2 03:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;18-12-21;mfleming@me.com;17759965
Cinemaxx;Odense;17-12-26 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;nimaclea@hotmail.com;99154371
Cinemaxx;Odense;17-12-27 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;msroth@msn.com;88394675
Cinemaxx;Odense;17-12-26 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;cderoove@optonline.net;47529304
Cinemaxx;Århus;17-12-26 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;amimojo@me.com;18305746
Cinemaxx;Århus;17-12-27 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;caidaperl@hotmail.com;84432262
Nordisk Film;Odense;17-12-28 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;cmdrgravy@gmail.com;39234086
Nordisk Film;Odense;17-12-26 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;novanet@optonline.net;17447521
Nordisk Film;Odense;17-12-27 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;mhassel@hotmail.com;62246767
Nordisk Film;Munkebo;17-12-28 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;mirod@outlook.com;94268291
Nordisk Film;Munkebo;17-12-29 08:00;The Shape of Water;Adventure, Drama, Fantasy;02:3;Guillermo del Toro;17-12-22;kronvold@comcast.net;99381136
Cinemaxx;Odense;17-12-2 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;rupak@optonline.net;88958581
Cinemaxx;Odense;17-12-3 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;ideguy@live.com;57857373
Cinemaxx;Odense;17-12-4 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;tattooman@aol.com;22722611
Cinemaxx;Århus;17-12-5 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;lydia@yahoo.ca;24003908
Cinemaxx;Århus;17-12-6 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;jeteve@verizon.net;67962658
Nordisk Film;Odense;17-12-7 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;fwiles@icloud.com;86796024
Nordisk Film;Odense;17-12-8 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;gboss@optonline.net;55397707
Nordisk Film;Odense;17-12-9 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;mcrawfor@icloud.com;98974761
Nordisk Film;Munkebo;17-12-10 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;mwilson@outlook.com;36874444
Nordisk Film;Munkebo;17-12-11 07:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;17-12-1;lridener@yahoo.com;56571001
